Artist,Track,Year,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Marty Robbins,El Paso,1960,0.654,0.452,2,-9.709,1,0.03,0.835,2.89E-05,0.16,0.691,106.662
Frankie Avalon,Why,1960,0.51,0.349,5,-8.677,1,0.0264,0.762,0,0.13,0.586,94.267
Miss Toni Fisher,The Big Hurt,1960,0.624,0.557,0,-8.309,1,0.0299,0.783,0,0.173,0.676,123.919
Johnny Preston,Running Bear,1960,0.772,0.297,5,-14.679,0,0.053,0.854,7.59E-06,0.125,0.822,119.987
Guy Mitchell,Heartaches By The Number,1960,0.584,0.589,5,-11.203,1,0.0718,0.463,1.53E-05,0.069,0.842,172.484
Connie Francis,Among My Souvenirs,1960,0.486,0.464,9,-6.236,1,0.0266,0.404,7.78E-06,0.184,0.417,107.991
Steve Lawrence,Pretty Blue Eyes,1960,0.477,0.507,5,-11.802,1,0.0328,0.497,0,0.36,0.864,126.419
Jimmy Clanton,"Go, Jimmy, Go",1960,0.684,0.374,0,-12.037,1,0.0358,0.435,0,0.131,0.846,142.815
Bobby Rydell,We Got Love,1960,0.552,0.667,7,-7.058,1,0.039,0.66,0,0.1,0.64,131.041
Bobby Darin,Mack The Knife,1960,0.549,0.529,3,-12.291,0,0.108,0.76,0,0.206,0.464,82.755
Andy Williams,The Village Of St. Bernadette,1960,0.235,0.198,8,-14.609,1,0.03,0.912,1.63E-06,0.25,0.229,87.256
Larry Hall,Sandy,1960,0.633,0.484,0,-8.507,1,0.0269,0.47,0.000141,0.1,0.814,80.543
Fabian,Hound Dog Man,1960,0.29,0.125,4,-17.262,1,0.0345,0.915,0.000243,0.0937,0.277,165.897
The Browns,Scarlet Ribbons (For Her Hair),1960,0.457,0.228,7,-11.901,1,0.0269,0.911,0.0002,0.139,0.231,96.324
Bill Black's Combo,Smokie - Part 2,1960,0.769,0.273,0,-9.071,1,0.0425,0.314,0.952,0.0911,0.763,117.883
Della Reese,Not One Minute More,1960,0.348,0.467,10,-6.346,1,0.0329,0.835,0.000437,0.124,0.258,122.738
Fabian,This Friendly World,1960,0.35,0.0721,2,-20.681,1,0.0346,0.948,0,0.108,0.362,115.252
Marv Johnson,You Got What It Takes,1960,0.715,0.546,7,-13.647,1,0.0864,0.776,0,0.304,0.957,136.685
Brook Benton,So Many Ways,1960,0.503,0.42,10,-13.816,1,0.0334,0.62,2.66E-06,0.188,0.571,116.734
Neil Sedaka,Oh! Carol,1960,0.728,0.734,11,-3.234,1,0.0318,0.63,3.56E-05,0.137,0.965,135.078
