Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Hit
0.543,0.658,6,-8.091,1,0.0298,0.351,1.01E-06,0.0512,0.874,178.075,1
0.439,0.863,4,-6.335,1,0.0484,0.0292,0,0.376,0.726,181.766,1
0.747,0.609,4,-6.985,0,0.0347,0.138,0,0.105,0.555,120.051,1
0.706,0.818,6,-4.736,0,0.0488,0.0831,0.00144,0.0774,0.947,94.956,1
0.696,0.521,3,-6.635,1,0.0343,0.189,0,0.117,0.552,134.28,1
0.557,0.553,1,-7.954,1,0.0319,0.247,0,0.125,0.253,139.821,1
0.758,0.896,9,-3.311,1,0.0501,0.173,3.18E-05,0.136,0.797,94.911,1
0.622,0.692,7,-6.97,1,0.0276,0.363,0.000158,0.193,0.774,112.053,1
0.612,0.804,7,-7.275,1,0.0543,0.273,0,0.311,0.841,80.771,1
0.58,0.774,1,-5.4,1,0.028,0.0736,0,0.224,0.588,95.989,1
0.52,0.756,11,-3.909,1,0.0288,0.122,3.53E-05,0.389,0.286,122.448,1
0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,1
0.637,0.846,1,-3.663,1,0.0346,0.0437,0,0.105,0.634,103.119,1
0.67,0.766,2,-4.489,1,0.0301,0.0804,0,0.255,0.766,106.981,1
0.824,0.707,9,-7.893,1,0.285,0.415,0,0.106,0.847,94.708,1
0.545,0.902,6,-5.302,1,0.0471,0.0556,0,0.196,0.777,91.251,1
0.464,0.81,5,-3.845,1,0.0724,0.0763,0,0.0574,0.881,166.366,1
0.544,0.435,4,-9.927,1,0.0265,0.462,0,0.106,0.152,72.981,1
0.719,0.836,7,-3.798,1,0.0287,0.0425,0,0.209,0.943,116.205,1
0.691,0.394,9,-6.261,1,0.0654,0.113,0,0.184,0.561,62.127,1
0.627,0.8,1,-6.945,1,0.162,0.21,0.000123,0.137,0.912,175.815,1
0.507,0.71,5,-5.02,1,0.0291,0.0975,1.08E-05,0.17,0.45,134.647,1
0.627,0.888,9,-4.523,0,0.0388,0.0528,0.00237,0.136,0.591,99.905,1
0.814,0.808,7,-5.034,1,0.155,0.161,0,0.0616,0.738,99.816,1
0.531,0.658,4,-7.382,1,0.0382,0.412,0.00272,0.16,0.461,78.896,1
0.339,0.625,1,-8.57,1,0.028,0.057,0.000102,0.229,0.334,104.68,1
0.609,0.698,4,-7.575,1,0.0397,0.345,0,0.182,0.627,117.807,1
0.648,0.622,7,-6.063,1,0.0428,0.00152,5.97E-05,0.109,0.51,88.684,1
0.733,0.395,6,-11.959,0,0.0366,0.279,2.37E-06,0.468,0.661,96.085,1
0.595,0.393,2,-9.909,1,0.0292,0.508,0,0.153,0.2,137.744,1
0.699,0.514,1,-9.34,1,0.027,0.108,0,0.0817,0.41,120.056,1
0.582,0.666,8,-5.556,1,0.63,0.0176,0,0.725,0.435,172.488,1
0.688,0.67,1,-7.872,1,0.0971,0.0304,0,0.0782,0.537,83.988,1
0.644,0.443,1,-7.308,0,0.0295,0.442,0,0.117,0.0534,109.936,1
0.754,0.702,10,-8.033,0,0.0429,0.0275,0,0.0619,0.736,95.998,1
0.622,0.747,10,-4.479,1,0.0276,0.0749,0,0.0273,0.51,95.52,1
0.914,0.698,9,-8.619,1,0.0541,0.00631,0.000295,0.0575,0.613,99.034,1
0.623,0.898,4,-6.604,0,0.0309,0.000192,0.303,0.138,0.786,130.993,1
0.665,0.727,9,-7.324,0,0.0559,0.0102,0.00126,0.241,0.515,95.926,1
0.644,0.644,7,-7.542,1,0.0305,0.245,0.00083,0.27,0.293,98.746,1
0.413,0.829,4,-11.111,1,0.529,0.394,0,0.108,0.677,191.477,1
0.507,0.85,5,-5.679,1,0.0472,0.378,0,0.0567,0.847,171.8,1
0.168,0.235,11,-7.877,1,0.0404,0.0321,0.82,0.0924,0.0618,127.748,1
0.631,0.801,2,-6.092,1,0.0561,0.153,0,0.359,0.59,104.035,1
0.566,0.864,6,-6.045,0,0.0629,0.118,0,0.333,0.441,129.909,1
0.716,0.455,2,-7.148,0,0.0282,0.0329,1.87E-06,0.0599,0.226,111.668,1
0.573,0.929,11,-5.996,1,0.082,0.00218,0.0723,0.718,0.284,97.57,1
0.8,0.894,6,-7.346,0,0.04,0.0108,0.437,0.0285,0.967,138.48,1
0.702,0.52,10,-8.581,1,0.0725,0.435,0,0.299,0.467,120.005,1
0.545,0.655,6,-6.851,1,0.0361,0.316,0,0.105,0.638,175.157,1
0.531,0.696,4,-6.729,1,0.0258,0.15,0.00016,0.36,0.488,163.912,1
0.692,0.641,7,-7.601,1,0.0359,0.0239,1.23E-05,0.114,0.559,98.742,1
0.546,0.618,9,-7.741,0,0.226,0.0464,0,0.0298,0.641,143.269,1
0.622,0.807,5,-6.752,0,0.408,0.103,0,0.306,0.892,174.06,1
0.661,0.346,11,-9.115,1,0.03,0.452,0,0.131,0.256,129.752,1
0.77,0.475,7,-9.512,1,0.159,0.0557,4.81E-06,0.0607,0.474,82.511,1
0.505,0.411,8,-8.273,1,0.0255,0.677,1.23E-05,0.0605,0.124,80.948,1
0.748,0.939,0,-4.288,0,0.0341,0.0534,0,0.32,0.96,104.001,1
0.708,0.758,0,-5.94,1,0.0239,0.169,0,0.106,0.767,97.979,1
0.613,0.426,11,-7.92,1,0.023,0.454,3.65E-05,0.116,0.509,93.981,1
0.813,0.949,3,-2.563,0,0.0336,0.486,9.75E-06,0.112,0.792,115.061,1
0.661,0.973,0,-2.994,0,0.037,0.11,1.74E-05,0.617,0.75,108.037,1
0.556,0.436,7,-7.906,1,0.0335,0.0409,0,0.119,0.0799,119.91,1
0.459,0.83,2,-6.254,1,0.0364,5.15E-05,0.00014,0.206,0.431,155.826,1
0.594,0.34,0,-15.155,1,0.0281,0.251,8.81E-05,0.683,0.221,105.031,1
0.8,0.867,5,-4.001,0,0.133,0.165,0.000352,0.114,0.926,90.53,1
0.472,0.714,7,-7.546,0,0.0248,0.102,2.91E-06,0.0485,0.7,92.874,1
0.656,0.746,8,-5.379,1,0.0325,0.237,0,0.0214,0.96,140.865,1
0.619,0.751,11,-9.936,0,0.0383,0.25,0.0053,0.521,0.497,115.028,1
0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73E-05,0.0419,0.868,103.032,1
0.695,0.945,10,-6.165,0,0.0418,0.00341,0.0727,0.103,0.84,125.013,1
0.585,0.709,11,-5.604,1,0.0611,0.0111,0,0.202,0.726,183.22,1
0.646,0.366,5,-11.183,1,0.0233,0.582,0.000228,0.128,0.272,90.338,1
0.675,0.553,7,-7.775,1,0.0486,0.0863,7.58E-06,0.118,0.594,90.02,1
0.59,0.666,4,-4.047,0,0.0244,0.156,0,0.136,0.0743,104.042,1
0.498,0.806,2,-5.297,1,0.0394,0.00472,0,0.127,0.677,151.781,1
0.507,0.411,10,-8.657,1,0.0276,0.308,0,0.106,0.184,102.806,1
0.512,0.958,7,-3.979,1,0.16,0.00317,0.0403,0.295,0.39,97.715,1
0.465,0.919,4,-4.025,1,0.0408,1.83E-05,2.07E-05,0.262,0.537,135.997,1
0.342,0.792,5,-6.001,0,0.0391,0.000442,8.57E-06,0.142,0.431,149.744,1
0.725,0.279,0,-14.346,0,0.0701,0.592,0,0.0869,0.471,119.787,1
0.61,0.497,9,-9.88,1,0.0279,0.32,6.11E-05,0.0884,0.739,85.031,1
0.695,0.579,0,-5.066,1,0.0325,0.000479,0,0.0556,0.726,88.957,1
0.729,0.881,5,-5.024,0,0.0283,0.0231,0,0.0872,0.963,118.58,1
0.635,0.852,11,-6.463,1,0.0516,0.166,0,0.309,0.966,76.498,1
0.476,0.443,9,-7.563,1,0.0282,0.105,7.97E-06,0.123,0.165,72.888,1
0.825,0.86,1,-4.69,1,0.0806,0.0454,9.20E-05,0.0868,0.793,90.021,1
0.529,0.496,7,-9.007,1,0.029,0.173,0,0.251,0.278,136.859,1
0.807,0.498,10,-9.91,0,0.0755,0.259,3.04E-05,0.0618,0.857,99.001,1
0.503,0.785,0,-6.571,1,0.0743,0.295,0,0.744,0.734,91.464,1
0.461,0.413,8,-12.555,1,0.0432,0.141,0,0.1,0.368,171.186,1
0.85,0.675,10,-7.915,0,0.0442,0.0108,0,0.0914,0.815,131.996,1
0.599,0.957,11,-5.764,1,0.188,0.0129,7.06E-05,0.155,0.489,103.68,1
0.699,0.477,2,-9.339,1,0.031,0.291,0,0.164,0.83,118.382,1
0.696,0.627,4,-5.629,1,0.0334,0.0685,0,0.0993,0.322,116.047,1
0.782,0.449,5,-4.233,0,0.0443,0.00284,0.0623,0.0921,0.816,95.013,1
0.762,0.566,0,-6.749,1,0.0385,0.0341,2.73E-06,0.0779,0.666,129.28,1
0.472,0.485,8,-8.412,1,0.0274,0.0655,1.76E-05,0.0801,0.277,138.788,1
0.608,0.897,1,-2.921,1,0.291,0.085,0,0.108,0.868,166.652,1
0.664,0.916,1,-3.888,1,0.473,0.17,1.67E-05,0.164,0.559,93.134,1
0.688,0.716,4,-4.001,0,0.0297,0.131,0,0.134,0.352,96.043,1
0.754,0.819,0,-6.833,1,0.112,0.0684,0,0.345,0.818,142.137,1
0.822,0.969,7,-11.471,0,0.0582,0.259,0.000162,0.39,0.765,128.007,1
0.721,0.836,8,-3.972,0,0.206,0.112,0,0.235,0.508,126.279,1
0.638,0.937,0,-4.642,1,0.0444,0.0942,0,0.327,0.762,100.03,1
0.798,0.703,10,-4.05,0,0.135,0.117,0,0.121,0.792,101.015,1
0.541,0.775,2,-8.041,1,0.0297,0.00151,0.000222,0.178,0.271,98.992,1
0.467,0.622,6,-7.255,1,0.031,0.365,0.00527,0.0982,0.455,164.418,1
0.437,0.586,4,-6.708,1,0.0274,0.151,3.13E-06,0.0996,0.252,150.14,1
0.444,0.484,9,-8.311,1,0.0289,0.12,0,0.135,0.263,147.715,1
0.848,0.691,7,-6.775,1,0.093,0.0512,0.00803,0.0723,0.922,92.996,1
0.434,0.897,0,-4.918,1,0.0488,0.0103,0,0.612,0.684,148.726,1
0.622,0.97,9,-2.722,0,0.156,0.13,0,0.188,0.429,102.025,1
0.689,0.886,10,-7.066,0,0.0382,0.0664,0,0.278,0.906,122.07,1
0.83,0.414,9,-11.136,0,0.197,0.243,0,0.627,0.556,99.234,1
0.527,0.771,11,-7.177,1,0.0769,0.1,0.0529,0.0612,0.411,104.386,1
0.647,0.746,2,-10.597,1,0.0437,0.195,0,0.0271,0.946,98.991,1
0.351,0.615,7,-7.621,1,0.0451,0.206,0,0.985,0.337,127.798,1
0.823,0.62,8,-8.002,1,0.329,0.000484,0,0.494,0.628,90.57,1
0.16,0.296,0,-11.86,1,0.0348,0.111,0.847,0.101,0.0388,62.33,1
0.63,0.625,6,-5.088,0,0.0252,0.231,0,0.0765,0.683,167.998,1
0.329,0.747,10,-6.411,1,0.0297,0.125,2.08E-06,0.197,0.177,109.701,1
0.698,0.662,10,-7.997,1,0.087,0.564,1.38E-06,0.0875,0.81,141.639,1
0.725,0.487,8,-5.959,0,0.0368,0.26,1.09E-05,0.431,0.599,136.086,1
0.561,0.897,4,-3.974,1,0.0306,0.00318,0.00623,0.248,0.599,103.461,1
0.897,0.668,1,-4.335,1,0.327,0.00709,0,0.0751,0.685,103.952,1
0.662,0.536,0,-7.679,1,0.0689,0.537,0,0.0942,0.302,111.845,1
0.676,0.879,7,-8.821,1,0.107,0.00192,0.0029,0.317,0.392,94.836,1
0.595,0.904,7,-4.803,1,0.0355,0.03,4.43E-05,0.397,0.6,102.002,1
0.634,0.677,5,-7.278,0,0.0304,0.0117,0.00103,0.126,0.558,135.012,1
0.728,0.94,4,-5.034,1,0.0368,0.0814,0.000162,0.109,0.967,113.76,1
0.706,0.888,2,-6.959,1,0.0654,0.119,9.64E-05,0.07,0.714,121.549,1
0.702,0.573,9,-5.69,0,0.0344,0.526,0,0.23,0.693,129.999,1
0.677,0.665,7,-5.171,1,0.0305,0.56,1.01E-06,0.338,0.706,74.981,1
0.647,0.49,9,-5.044,1,0.0288,0.676,0,0.231,0.298,132.336,1
0.648,0.667,0,-8.986,1,0.0311,0.0534,6.94E-06,0.0908,0.669,109.609,1
0.682,0.719,5,-5.8,1,0.0259,0.281,1.79E-06,0.308,0.755,124.633,1
0.548,0.444,0,-8.734,1,0.0293,0.0376,0,0.179,0.243,173.834,1
0.213,0.489,7,-8.471,1,0.0334,0.112,0,0.133,0.139,196.347,1
0.418,0.351,9,-9.407,1,0.0293,0.569,0,0.103,0.139,145.379,1
0.495,0.488,3,-7.477,1,0.0309,0.125,0,0.189,0.237,72.064,1
0.534,0.596,2,-7.148,1,0.0279,0.277,0.000359,0.148,0.147,114.957,1
0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,1
0.881,0.83,7,-4.563,1,0.172,0.0144,0.00771,0.0626,0.765,98.793,1
